# Flowama container motion track
# tick,px,py,pz,qx,qy,qz,qw
93,0,0,0,0,0,0,1
94,0,0,0,0,0,0,1
95,0,0,0,0,0,0,1
96,0,0,0,0,0,0,1
97,0,0,0,0,0,0,1
98,0,0,0,0,0,0,1
99,0,0,0,0,0,0,1
100,0,0,0,0,0,0,1
101,0,0,0,0,0,0,1
102,0,0,0,0,0,0,1
103,0,0,0,0,0,0,1
104,0,0,0,0,0,0,1
105,0,0,0,0,0,0,1
106,0,0,0,0,0,0,1
107,0,0,0,0,0,0,1
108,0,0,0,0,0,0,1
109,0,0,0,0,0,0,1
110,0,0,0,0,0,0,1
111,0,0,0,0,0,0,1
112,0,0,0,0,0,0,1
113,0,0,0,0,0,0,1
114,0,0,0,0,0,0,1
115,0,0,0,0,0,0,1
116,0,0,0,0,0,0,1
117,0,0,0,0,0,0,1
118,0,0,0,0,0,0,1
119,0,0,0,0,0,0,1
120,0,0,0,0,0,0,1
121,0,0,0,0,4.51987755E-05,0,0.999999999
122,0,0,0,0,0.000179785072,0,0.999999984
123,0,0,0,0,0.00040224384,0,0.999999919
124,0,0,0,0,0.000711060006,0,0.999999747
125,0,0,0,0,0.00110471845,0,0.99999939
126,0,0,0,0,0.00158170398,0,0.999998749
127,0,0,0,0,0.00214050127,0,0.999997709
128,0,0,0,0,0.00277959486,0,0.999996137
129,0,0,0,0,0.00349746907,0,0.999993884
130,0,0,0,0,0.00429260795,0,0.999990787
131,0,0,0,0,0.00516349527,0,0.999986669
132,0,0,0,0,0.00610861439,0,0.999981342
133,0,0,0,0,0.00712644828,0,0.999974607
134,0,0,0,0,0.00821547942,0,0.999966252
135,0,0,0,0,0.00937418974,0,0.999956061
136,0,0,0,0,0.0106010606,0,0.999943807
137,0,0,0,0,0.0118945727,0,0.999929257
138,0,0,0,0,0.013253206,0,0.999912172
139,0,0,0,0,0.0146754398,0,0.99989231
140,0,0,0,0,0.0161597526,0,0.999869423
141,0,0,0,0,0.0177046221,0,0.999843261
142,0,0,0,0,0.0193085249,0,0.999813573
143,0,0,0,0,0.0209699371,0,0.999780107
144,0,0,0,0,0.0226873336,0,0.999742609
145,0,0,0,0,0.0244591883,0,0.999700829
146,0,0,0,0,0.0262839745,0,0.999654517
147,0,0,0,0,0.0281601641,0,0.999603424
148,0,0,0,0,0.0300862284,0,0.999547307
149,0,0,0,0,0.0320606374,0,0.999485926
150,0,0,0,0,0.0340818604,0,0.999419045
151,0,0,0,0,0.0361483656,0,0.999346434
152,0,0,0,0,0.0382586204,0,0.999267871
153,0,0,0,0,0.0404110912,0,0.999183138
154,0,0,0,0,0.0426042434,0,0.999092027
155,0,0,0,0,0.044836542,0,0.998994337
156,0,0,0,0,0.0471064507,0,0.998889875
157,0,0,0,0,0.0494124329,0,0.99877846
158,0,0,0,0,0.051752951,0,0.998659918
159,0,0,0,0,0.0541264669,0,0.998534088
160,0,0,0,0,0.0565314422,0,0.998400819
161,0,0,0,0,0.0589663376,0,0.998259972
162,0,0,0,0,0.0614296137,0,0.998111418
163,0,0,0,0,0.0639197308,0,0.997955043
164,0,0,0,0,0.0664351488,0,0.997790745
165,0,0,0,0,0.0689743276,0,0.997618435
166,0,0,0,0,0.0715357271,0,0.997438038
167,0,0,0,0,0.0741178073,0,0.997249493
168,0,0,0,0,0.0767190281,0,0.997052752
169,0,0,0,0,0.0793378501,0,0.996847785
170,0,0,0,0,0.0819727341,0,0.996634572
171,0,0,0,0,0.0846221413,0,0.996413114
172,0,0,0,0,0.0872845337,0,0.996183422
173,0,0,0,0,0.089958374,0,0.995945526
174,0,0,0,0,0.0926421258,0,0.995699471
175,0,0,0,0,0.0953342536,0,0.995445317
176,0,0,0,0,0.098033223,0,0.995183143
177,0,0,0,0,0.100737501,0,0.994913039
178,0,0,0,0,0.103445555,0,0.994635118
179,0,0,0,0,0.106155856,0,0.994349503
180,0,0,0,0,0.108866875,0,0.994056338
181,0,0,0,0,0.111577084,0,0.993755782
182,0,0,0,0,0.114284958,0,0.99344801
183,0,0,0,0,0.116988974,0,0.993133214
184,0,0,0,0,0.119687611,0,0.992811601
185,0,0,0,0,0.122379349,0,0.992483398
186,0,0,0,0,0.125062672,0,0.992148844
187,0,0,0,0,0.127736064,0,0.991808196
188,0,0,0,0,0.130398014,0,0.991461728
189,0,0,0,0,0.133047011,0,0.991109728
190,0,0,0,0,0.135681549,0,0.9907525
191,0,0,0,0,0.138300123,0,0.990390365
192,0,0,0,0,0.140901232,0,0.990023658
193,0,0,0,0,0.143483376,0,0.989652727
194,0,0,0,0,0.146045059,0,0.989277939
195,0,0,0,0,0.148584788,0,0.988899672
196,0,0,0,0,0.151101073,0,0.988518318
197,0,0,0,0,0.153592426,0,0.988134286
198,0,0,0,0,0.156057363,0,0.987747994
199,0,0,0,0,0.158494403,0,0.987359876
200,0,0,0,0,0.160902067,0,0.986970377
201,0,0,0,0,0.163278879,0,0.986579955
202,0,0,0,0,0.165623368,0,0.986189079
203,0,0,0,0,0.167934063,0,0.98579823
204,0,0,0,0,0.170209499,0,0.985407898
205,0,0,0,0,0.172448212,0,0.985018586
206,0,0,0,0,0.17464874,0,0.984630803
207,0,0,0,0,0.176809626,0,0.984245069
208,0,0,0,0,0.178929414,0,0.983861914
209,0,0,0,0,0.181006651,0,0.983481872
210,0,0,0,0,0.183039888,0,0.983105487
211,0,0,0,0,0.185027676,0,0.98273331
212,0,0,0,0,0.186968569,0,0.982365896
213,0,0,0,0,0.188861123,0,0.982003807
214,0,0,0,0,0.190703898,0,0.981647606
215,0,0,0,0,0.192495454,0,0.981297865
216,0,0,0,0,0.194234351,0,0.980955155
217,0,0,0,0,0.195919154,0,0.980620051
218,0,0,0,0,0.197548428,0,0.980293129
219,0,0,0,0,0.199120738,0,0.979974965
220,0,0,0,0,0.20063465,0,0.979666136
221,0,0,0,0,0.202088732,0,0.979367216
222,0,0,0,0,0.203481552,0,0.97907878
223,0,0,0,0,0.204811679,0,0.978801398
224,0,0,0,0,0.206077678,0,0.978535636
225,0,0,0,0,0.20727812,0,0.978282056
226,0,0,0,0,0.20841157,0,0.978041215
227,0,0,0,0,0.209476595,0,0.977813661
228,0,0,0,0,0.21047176,0,0.977599938
229,0,0,0,0,0.211395629,0,0.977400577
230,0,0,0,0,0.212246764,0,0.977216103
231,0,0,0,0,0.213023725,0,0.977047027
232,0,0,0,0,0.21372507,0,0.97689385
233,0,0,0,0,0.214349355,0,0.97675706
234,0,0,0,0,0.214895132,0,0.976637129
235,0,0,0,0,0.21536095,0,0.976534516
236,0,0,0,0,0.215745354,0,0.976449662
237,0,0,0,0,0.216046887,0,0.97638299
238,0,0,0,0,0.216264087,0,0.976334904
239,0,0,0,0,0.216395486,0,0.976305789
240,0,0,0,0,0.216439614,0,0.976296007
241,0,0,0,0,0.216439614,0,0.976296007
242,0,0,0,0,0.216439614,0,0.976296007
243,0,0,0,0,0.216439614,0,0.976296007
244,0,0,0,0,0.216439614,0,0.976296007
245,0,0,0,0,0.216439614,0,0.976296007
246,0,0,0,0,0.216439614,0,0.976296007
247,0,0,0,0,0.216439614,0,0.976296007
248,0,0,0,0,0.216439614,0,0.976296007
249,0,0,0,0,0.216439614,0,0.976296007
250,0,0,0,0,0.216439614,0,0.976296007
251,0,0,0,0,0.216439614,0,0.976296007
252,0,0,0,0,0.216439614,0,0.976296007
253,0,0,0,0,0.216439614,0,0.976296007
254,0,0,0,0,0.216439614,0,0.976296007
255,0,0,0,0,0.216439614,0,0.976296007
256,0,0,0,0,0.216439614,0,0.976296007
257,0,0,0,0,0.216439614,0,0.976296007
258,0,0,0,0,0.216439614,0,0.976296007
259,0,0,0,0,0.216439614,0,0.976296007
260,0,0,0,0,0.216439614,0,0.976296007
261,0,0,0,0,0.216439614,0,0.976296007
262,0,0,0,0,0.216439614,0,0.976296007
263,0,0,0,0,0.216439614,0,0.976296007
264,0,0,0,0,0.216439614,0,0.976296007
265,0,0,0,0,0.216439614,0,0.976296007
266,0,0,0,0,0.216439614,0,0.976296007
267,0,0,0,0,0.216439614,0,0.976296007
268,0,0,0,0,0.216439614,0,0.976296007
269,0,0,0,0,0.216439614,0,0.976296007
270,0,0,0,0,0.216439614,0,0.976296007
271,0,0,0,0,0.216439614,0,0.976296007
272,0,0,0,0,0.216439614,0,0.976296007
273,0,0,0,0,0.216439614,0,0.976296007
274,0,0,0,0,0.216439614,0,0.976296007
275,0,0,0,0,0.216439614,0,0.976296007
276,0,0,0,0,0.216439614,0,0.976296007
277,0,0,0,0,0.216439614,0,0.976296007
278,0,0,0,0,0.216439614,0,0.976296007
279,0,0,0,0,0.216439614,0,0.976296007
280,0,0,0,0,0.216439614,0,0.976296007
281,0,0,0,0,0.216439614,0,0.976296007
282,0,0,0,0,0.216439614,0,0.976296007
283,0,0,0,0,0.216439614,0,0.976296007
284,0,0,0,0,0.216439614,0,0.976296007
285,0,0,0,0,0.216439614,0,0.976296007
286,0,0,0,0,0.216439614,0,0.976296007
287,0,0,0,0,0.216439614,0,0.976296007
288,0,0,0,0,0.216439614,0,0.976296007
289,0,0,0,0,0.216439614,0,0.976296007
290,0,0,0,0,0.216439614,0,0.976296007
291,0,0,0,0,0.216439614,0,0.976296007
292,0,0,0,0,0.216439614,0,0.976296007
293,0,0,0,0,0.216439614,0,0.976296007
294,0,0,0,0,0.216439614,0,0.976296007
295,0,0,0,0,0.216439614,0,0.976296007
296,0,0,0,0,0.216439614,0,0.976296007
297,0,0,0,0,0.216439614,0,0.976296007
298,0,0,0,0,0.216439614,0,0.976296007
299,0,0,0,0,0.216439614,0,0.976296007
300,0,0,0,0,0.216439614,0,0.976296007
301,0,0,0,0,0.216439614,0,0.976296007
302,0,0,0,0,0.216439614,0,0.976296007
303,0,0,0,0,0.216439614,0,0.976296007
304,0,0,0,0,0.216439614,0,0.976296007
305,0,0,0,0,0.216439614,0,0.976296007
306,0,0,0,0,0.216439614,0,0.976296007
307,0,0,0,0,0.216439614,0,0.976296007
308,0,0,0,0,0.216439614,0,0.976296007
309,0,0,0,0,0.216439614,0,0.976296007
310,0,0,0,0,0.216439614,0,0.976296007
311,0,0,0,0,0.216439614,0,0.976296007
312,0,0,0,0,0.216439614,0,0.976296007
313,0,0,0,0,0.216439614,0,0.976296007
314,0,0,0,0,0.216439614,0,0.976296007
315,0,0,0,0,0.216439614,0,0.976296007
316,0,0,0,0,0.216439614,0,0.976296007
317,0,0,0,0,0.216439614,0,0.976296007
318,0,0,0,0,0.216439614,0,0.976296007
319,0,0,0,0,0.216439614,0,0.976296007
320,0,0,0,0,0.216439614,0,0.976296007
321,0,0,0,0,0.216439614,0,0.976296007
322,0,0,0,0,0.216439614,0,0.976296007
323,0,0,0,0,0.216439614,0,0.976296007
324,0,0,0,0,0.216439614,0,0.976296007
325,0,0,0,0,0.216439614,0,0.976296007
326,0,0,0,0,0.216439614,0,0.976296007
327,0,0,0,0,0.216439614,0,0.976296007
328,0,0,0,0,0.216439614,0,0.976296007
329,0,0,0,0,0.216439614,0,0.976296007
330,0,0,0,0,0.216439614,0,0.976296007
331,0,0,0,0,0.216439614,0,0.976296007
332,0,0,0,0,0.216439614,0,0.976296007
333,0,0,0,0,0.216439614,0,0.976296007
334,0,0,0,0,0.216439614,0,0.976296007
335,0,0,0,0,0.216439614,0,0.976296007
336,0,0,0,0,0.216439614,0,0.976296007
337,0,0,0,0,0.216439614,0,0.976296007
338,0,0,0,0,0.216439614,0,0.976296007
339,0,0,0,0,0.216439614,0,0.976296007
340,0,0,0,0,0.216439614,0,0.976296007
341,0,0,0,0,0.216439614,0,0.976296007
342,0,0,0,0,0.216439614,0,0.976296007
343,0,0,0,0,0.216439614,0,0.976296007
344,0,0,0,0,0.216439614,0,0.976296007
345,0,0,0,0,0.216439614,0,0.976296007
346,0,0,0,0,0.216439614,0,0.976296007
347,0,0,0,0,0.216439614,0,0.976296007
348,0,0,0,0,0.216439614,0,0.976296007
349,0,0,0,0,0.216439614,0,0.976296007
350,0,0,0,0,0.216439614,0,0.976296007
351,0,0,0,0,0.216439614,0,0.976296007
352,0,0,0,0,0.216439614,0,0.976296007
353,0,0,0,0,0.216439614,0,0.976296007
354,0,0,0,0,0.216439614,0,0.976296007
355,0,0,0,0,0.216439614,0,0.976296007
356,0,0,0,0,0.216439614,0,0.976296007
357,0,0,0,0,0.216439614,0,0.976296007
358,0,0,0,0,0.216439614,0,0.976296007
359,0,0,0,0,0.216439614,0,0.976296007
360,0,0,0,0,0.216439614,0,0.976296007
361,0,0,0,0,0.216439614,0,0.976296007
362,0,0,0,0,0.216439614,0,0.976296007
363,0,0,0,0,0.216439614,0,0.976296007
364,0,0,0,0,0.216439614,0,0.976296007
365,0,0,0,0,0.216439614,0,0.976296007
366,0,0,0,0,0.216439614,0,0.976296007
367,0,0,0,0,0.216439614,0,0.976296007
368,0,0,0,0,0.216439614,0,0.976296007
369,0,0,0,0,0.216439614,0,0.976296007
370,0,0,0,0,0.216439614,0,0.976296007
371,0,0,0,0,0.216439614,0,0.976296007
372,0,0,0,0,0.216439614,0,0.976296007
373,0,0,0,0,0.216439614,0,0.976296007
374,0,0,0,0,0.216439614,0,0.976296007
375,0,0,0,0,0.216439614,0,0.976296007
376,0,0,0,0,0.216439614,0,0.976296007
377,0,0,0,0,0.216439614,0,0.976296007
378,0,0,0,0,0.216439614,0,0.976296007
379,0,0,0,0,0.216439614,0,0.976296007
380,0,0,0,0,0.216439614,0,0.976296007
381,0,0,0,0,0.216439614,0,0.976296007
382,0,0,0,0,0.216439614,0,0.976296007
383,0,0,0,0,0.216439614,0,0.976296007
384,0,0,0,0,0.216439614,0,0.976296007
385,0,0,0,0,0.216439614,0,0.976296007
386,0,0,0,0,0.216439614,0,0.976296007
387,0,0,0,0,0.216439614,0,0.976296007
388,0,0,0,0,0.216439614,0,0.976296007
389,0,0,0,0,0.216439614,0,0.976296007
390,0,0,0,0,0.216439614,0,0.976296007
391,0,0,0,0,0.216439614,0,0.976296007
392,0,0,0,0,0.216439614,0,0.976296007
393,0,0,0,0,0.216439614,0,0.976296007
394,0,0,0,0,0.216439614,0,0.976296007
395,0,0,0,0,0.216439614,0,0.976296007
396,0,0,0,0,0.216439614,0,0.976296007
397,0,0,0,0,0.216439614,0,0.976296007
398,0,0,0,0,0.216439614,0,0.976296007
399,0,0,0,0,0.216439614,0,0.976296007
400,0,0,0,0,0.216439614,0,0.976296007
401,0,0,0,0,0.216439614,0,0.976296007
402,0,0,0,0,0.216439614,0,0.976296007
403,0,0,0,0,0.216439614,0,0.976296007
404,0,0,0,0,0.216439614,0,0.976296007
405,0,0,0,0,0.216439614,0,0.976296007
406,0,0,0,0,0.216439614,0,0.976296007
407,0,0,0,0,0.216439614,0,0.976296007
408,0,0,0,0,0.216439614,0,0.976296007
409,0,0,0,0,0.216439614,0,0.976296007
410,0,0,0,0,0.216439614,0,0.976296007
411,0,0,0,0,0.216439614,0,0.976296007
412,0,0,0,0,0.216439614,0,0.976296007
413,0,0,0,0,0.216439614,0,0.976296007
414,0,0,0,0,0.216439614,0,0.976296007
415,0,0,0,0,0.216439614,0,0.976296007
416,0,0,0,0,0.216439614,0,0.976296007
417,0,0,0,0,0.216439614,0,0.976296007
418,0,0,0,0,0.216439614,0,0.976296007
419,0,0,0,0,0.216439614,0,0.976296007
420,0,0,0,0,0.216439614,0,0.976296007
421,0,0,0,0,0.216439614,0,0.976296007
422,0,0,0,0,0.216439614,0,0.976296007
423,0,0,0,0,0.216439614,0,0.976296007
424,0,0,0,0,0.216439614,0,0.976296007
425,0,0,0,0,0.216439614,0,0.976296007
426,0,0,0,0,0.216439614,0,0.976296007
427,0,0,0,0,0.216439614,0,0.976296007
428,0,0,0,0,0.216439614,0,0.976296007
429,0,0,0,0,0.216439614,0,0.976296007
430,0,0,0,0,0.216439614,0,0.976296007
431,0,0,0,0,0.216439614,0,0.976296007
432,0,0,0,0,0.216439614,0,0.976296007
433,0,0,0,0,0.216439614,0,0.976296007
434,0,0,0,0,0.216439614,0,0.976296007
435,0,0,0,0,0.216439614,0,0.976296007
436,0,0,0,0,0.216439614,0,0.976296007
437,0,0,0,0,0.216439614,0,0.976296007
438,0,0,0,0,0.216439614,0,0.976296007
439,0,0,0,0,0.216439614,0,0.976296007
440,0,0,0,0,0.216439614,0,0.976296007
441,0,0,0,0,0.216439614,0,0.976296007
442,0,0,0,0,0.216439614,0,0.976296007
443,0,0,0,0,0.216439614,0,0.976296007
444,0,0,0,0,0.216439614,0,0.976296007
445,0,0,0,0,0.216439614,0,0.976296007
446,0,0,0,0,0.216439614,0,0.976296007
447,0,0,0,0,0.216439614,0,0.976296007
448,0,0,0,0,0.216439614,0,0.976296007
449,0,0,0,0,0.216439614,0,0.976296007
450,0,0,0,0,0.216439614,0,0.976296007
451,0,0,0,0,0.216439614,0,0.976296007
452,0,0,0,0,0.216439614,0,0.976296007
453,0,0,0,0,0.216439614,0,0.976296007
454,0,0,0,0,0.216439614,0,0.976296007
455,0,0,0,0,0.216439614,0,0.976296007
456,0,0,0,0,0.216439614,0,0.976296007
457,0,0,0,0,0.216439614,0,0.976296007
458,0,0,0,0,0.216439614,0,0.976296007
459,0,0,0,0,0.216439614,0,0.976296007
460,0,0,0,0,0.216439614,0,0.976296007
461,0,0,0,0,0.216439614,0,0.976296007
462,0,0,0,0,0.216439614,0,0.976296007
463,0,0,0,0,0.216439614,0,0.976296007
464,0,0,0,0,0.216439614,0,0.976296007
465,0,0,0,0,0.216439614,0,0.976296007
466,0,0,0,0,0.216439614,0,0.976296007
467,0,0,0,0,0.216439614,0,0.976296007
468,0,0,0,0,0.216439614,0,0.976296007
469,0,0,0,0,0.216439614,0,0.976296007
470,0,0,0,0,0.216439614,0,0.976296007
471,0,0,0,0,0.216439614,0,0.976296007
472,0,0,0,0,0.216439614,0,0.976296007
473,0,0,0,0,0.216439614,0,0.976296007
474,0,0,0,0,0.216439614,0,0.976296007
475,0,0,0,0,0.216439614,0,0.976296007
476,0,0,0,0,0.216439614,0,0.976296007
477,0,0,0,0,0.216439614,0,0.976296007
478,0,0,0,0,0.216439614,0,0.976296007
479,0,0,0,0,0.216439614,0,0.976296007
480,0,0,0,0,0.216439614,0,0.976296007
481,0,0,0,0,0.216395486,0,0.976305789
482,0,0,0,0,0.216264087,0,0.976334904
483,0,0,0,0,0.216046887,0,0.97638299
484,0,0,0,0,0.215745354,0,0.976449662
485,0,0,0,0,0.21536095,0,0.976534516
486,0,0,0,0,0.214895132,0,0.976637129
487,0,0,0,0,0.214349355,0,0.97675706
488,0,0,0,0,0.21372507,0,0.97689385
489,0,0,0,0,0.213023725,0,0.977047027
490,0,0,0,0,0.212246764,0,0.977216103
491,0,0,0,0,0.211395629,0,0.977400577
492,0,0,0,0,0.21047176,0,0.977599938
493,0,0,0,0,0.209476595,0,0.977813661
494,0,0,0,0,0.20841157,0,0.978041215
495,0,0,0,0,0.20727812,0,0.978282056
496,0,0,0,0,0.206077678,0,0.978535636
497,0,0,0,0,0.204811679,0,0.978801398
498,0,0,0,0,0.203481552,0,0.97907878
499,0,0,0,0,0.202088732,0,0.979367216
500,0,0,0,0,0.20063465,0,0.979666136
501,0,0,0,0,0.199120738,0,0.979974965
502,0,0,0,0,0.197548428,0,0.980293129
503,0,0,0,0,0.195919154,0,0.980620051
504,0,0,0,0,0.194234351,0,0.980955155
505,0,0,0,0,0.192495454,0,0.981297865
506,0,0,0,0,0.190703898,0,0.981647606
507,0,0,0,0,0.188861123,0,0.982003807
508,0,0,0,0,0.186968569,0,0.982365896
509,0,0,0,0,0.185027676,0,0.98273331
510,0,0,0,0,0.183039888,0,0.983105487
511,0,0,0,0,0.181006651,0,0.983481872
512,0,0,0,0,0.178929414,0,0.983861914
513,0,0,0,0,0.176809626,0,0.984245069
514,0,0,0,0,0.17464874,0,0.984630803
515,0,0,0,0,0.172448212,0,0.985018586
516,0,0,0,0,0.170209499,0,0.985407898
517,0,0,0,0,0.167934063,0,0.98579823
518,0,0,0,0,0.165623368,0,0.986189079
519,0,0,0,0,0.163278879,0,0.986579955
520,0,0,0,0,0.160902067,0,0.986970377
521,0,0,0,0,0.158494403,0,0.987359876
522,0,0,0,0,0.156057363,0,0.987747994
523,0,0,0,0,0.153592426,0,0.988134286
524,0,0,0,0,0.151101073,0,0.988518318
525,0,0,0,0,0.148584788,0,0.988899672
526,0,0,0,0,0.146045059,0,0.989277939
527,0,0,0,0,0.143483376,0,0.989652727
528,0,0,0,0,0.140901232,0,0.990023658
529,0,0,0,0,0.138300123,0,0.990390365
530,0,0,0,0,0.135681549,0,0.9907525
531,0,0,0,0,0.133047011,0,0.991109728
532,0,0,0,0,0.130398014,0,0.991461728
533,0,0,0,0,0.127736064,0,0.991808196
534,0,0,0,0,0.125062672,0,0.992148844
535,0,0,0,0,0.122379349,0,0.992483398
536,0,0,0,0,0.119687611,0,0.992811601
537,0,0,0,0,0.116988974,0,0.993133214
538,0,0,0,0,0.114284958,0,0.99344801
539,0,0,0,0,0.111577084,0,0.993755782
540,0,0,0,0,0.108866875,0,0.994056338
541,0,0,0,0,0.106155856,0,0.994349503
542,0,0,0,0,0.103445555,0,0.994635118
543,0,0,0,0,0.100737501,0,0.994913039
544,0,0,0,0,0.098033223,0,0.995183143
545,0,0,0,0,0.0953342536,0,0.995445317
546,0,0,0,0,0.0926421258,0,0.995699471
547,0,0,0,0,0.089958374,0,0.995945526
548,0,0,0,0,0.0872845337,0,0.996183422
549,0,0,0,0,0.0846221413,0,0.996413114
550,0,0,0,0,0.0819727341,0,0.996634572
551,0,0,0,0,0.0793378501,0,0.996847785
552,0,0,0,0,0.0767190281,0,0.997052752
553,0,0,0,0,0.0741178073,0,0.997249493
554,0,0,0,0,0.0715357271,0,0.997438038
555,0,0,0,0,0.0689743276,0,0.997618435
556,0,0,0,0,0.0664351488,0,0.997790745
557,0,0,0,0,0.0639197308,0,0.997955043
558,0,0,0,0,0.0614296137,0,0.998111418
559,0,0,0,0,0.0589663376,0,0.998259972
560,0,0,0,0,0.0565314422,0,0.998400819
561,0,0,0,0,0.0541264669,0,0.998534088
562,0,0,0,0,0.051752951,0,0.998659918
563,0,0,0,0,0.0494124329,0,0.99877846
564,0,0,0,0,0.0471064507,0,0.998889875
565,0,0,0,0,0.044836542,0,0.998994337
566,0,0,0,0,0.0426042434,0,0.999092027
567,0,0,0,0,0.0404110912,0,0.999183138
568,0,0,0,0,0.0382586204,0,0.999267871
569,0,0,0,0,0.0361483656,0,0.999346434
570,0,0,0,0,0.0340818604,0,0.999419045
571,0,0,0,0,0.0320606374,0,0.999485926
572,0,0,0,0,0.0300862284,0,0.999547307
573,0,0,0,0,0.0281601641,0,0.999603424
574,0,0,0,0,0.0262839745,0,0.999654517
575,0,0,0,0,0.0244591883,0,0.999700829
576,0,0,0,0,0.0226873336,0,0.999742609
577,0,0,0,0,0.0209699371,0,0.999780107
578,0,0,0,0,0.0193085249,0,0.999813573
579,0,0,0,0,0.0177046221,0,0.999843261
580,0,0,0,0,0.0161597526,0,0.999869423
581,0,0,0,0,0.0146754398,0,0.99989231
582,0,0,0,0,0.013253206,0,0.999912172
583,0,0,0,0,0.0118945727,0,0.999929257
584,0,0,0,0,0.0106010606,0,0.999943807
585,0,0,0,0,0.00937418974,0,0.999956061
586,0,0,0,0,0.00821547942,0,0.999966252
587,0,0,0,0,0.00712644828,0,0.999974607
588,0,0,0,0,0.00610861439,0,0.999981342
589,0,0,0,0,0.00516349527,0,0.999986669
590,0,0,0,0,0.00429260795,0,0.999990787
591,0,0,0,0,0.00349746907,0,0.999993884
592,0,0,0,0,0.00277959486,0,0.999996137
593,0,0,0,0,0.00214050127,0,0.999997709
594,0,0,0,0,0.00158170398,0,0.999998749
595,0,0,0,0,0.00110471845,0,0.99999939
596,0,0,0,0,0.000711060006,0,0.999999747
597,0,0,0,0,0.00040224384,0,0.999999919
598,0,0,0,0,0.000179785072,0,0.999999984
599,0,0,0,0,4.51987755E-05,0,0.999999999
600,0,0,0,0,0,0,1
601,0,0,0,0,0,0,1
602,0,0,0,0,0,0,1
603,0,0,0,0,0,0,1
604,0,0,0,0,0,0,1
605,0,0,0,0,0,0,1
606,0,0,0,0,0,0,1
607,0,0,0,0,0,0,1
608,0,0,0,0,0,0,1
609,0,0,0,0,0,0,1
610,0,0,0,0,0,0,1
611,0,0,0,0,0,0,1
612,0,0,0,0,0,0,1
613,0,0,0,0,0,0,1
614,0,0,0,0,0,0,1
615,0,0,0,0,0,0,1
616,0,0,0,0,0,0,1
617,0,0,0,0,0,0,1
618,0,0,0,0,0,0,1
619,0,0,0,0,0,0,1
620,0,0,0,0,0,0,1
621,0,0,0,0,0,0,1
622,0,0,0,0,0,0,1
623,0,0,0,0,0,0,1
